Shrew_ID,Species,Site,Transect,Zone,Season,Date,Time,Sex,Weight_(g),Total_Length,Head_Length,Body_Length,Front_Limb_Length,Rear_Limb_Length
S21,Pygmy,IE48,South,Outside,Summer,22/09/2017,Unknown,13:15,3.3,89.1,19,35.5,16.5,23.1
S41,Pygmy,IE48,South,Outside,Winter,26/02/2018,F,13:30,2.7,93,18.6,31.1,18.8,24.5
S45,Pygmy,IE48,South,Outside,Winter,14/03/2018,Unknown,18:15,4,93.1,19.8,35.1,18.7,23.4
S73,Pygmy,IE48,South,Outside,Winter,06/04/2018,M,10:30,4.9,96.5,20.8,37.1,17.4,25.2
S74,Pygmy,IE48,South,Outside,Winter,06/04/2018,M,10:30,4.7,97.4,19.6,39.3,19.3,25.2
S75,Pygmy,IE48,South,Outside,Winter,06/04/2018,F,10:30,4,102.5,19.4,37.5,19.4,24.6
S76,Pygmy,IE48,South,Outside,Winter,06/04/2018,F,10:30,3.7,95,19.3,34.7,19.3,22.4
S77,Pygmy,IE48,South,Outside,Winter,06/04/2018,F,10:30,3.3,96,19.7,34.6,16.7,22.5
S78,Pygmy,IE48,South,Outside,Winter,06/04/2018,F,12:45,3.8,95,19.1,37.4,19.5,23.5
S47,GWTS,IE50,South,Edge,Winter,15/03/2018,F,11:45,13.9,116.8,21.9,34,22.5,28.7
S48,GWTS,IE50,South,Edge,Winter,15/03/2018,F,13:00,14,125.4,26.5,51.5,25.8,28.9
S30,Pygmy,IE51,South,Edge,Summer,28/09/2017,Unknown,16:00,3.5,89.5,18.3,35.7,16.4,23.7
S31,GWTS,IE52,South,Inside,Summer,29/09/2017,Unknown,13:15,11.2,115.9,25,47.9,22.3,28.4
S32,GWTS,IE52,South,Inside,Summer,29/09/2017,Unknown,13:15,11.2,114.7,26.6,46.7,24.8,28.5
S33,GWTS,IE52,South,Inside,Summer,29/09/2017,Unknown,13:15,9.5,112.9,25.6,50.9,25.3,27
S34,GWTS,IE52b,South,Inside,Summer,29/09/2017,Unknown,13:30,10.5,113.5,26.9,53.7,24.5,28.5
S53,GWTS,IE52b,South,Inside,Winter,17/03/2018,Unknown,14:00,10.2,109.4,24.8,50.8,22.9,27.5
S54,GWTS,IE52b,South,Inside,Winter,17/03/2018,Unknown,14:05,11.7,114.7,24.7,48.4,25.6,26.2
S55,GWTS,IE52b,South,Inside,Winter,17/03/2018,M,14:30,9.9,114,25.6,49.2,23.2,28.5
S56,GWTS,IE52b,South,Inside,Winter,17/03/2018,Unknown,14:30,9.4,117,25.3,47.4,25,29.4
S57,GWTS,IE52b,South,Inside,Winter,17/03/2018,M,14:45,9.8,114.1,24.6,49,22.9,27.5
S35,GWTS,IE52c,South,Inside,Summer,29/09/2017,Unknown,13:40,13.1,121.5,26.2,50.8,26.8,28.5
S36,GWTS,IE52c,South,Inside,Summer,29/09/2017,Unknown,13:40,10.7,116.7,25,50.4,24,27.5
S37,GWTS,IE52c,South,Inside,Summer,29/09/2017,Unknown,13:45,9.5,108,25.6,49,24.8,28.1
S38,GWTS,IE52c,South,Inside,Summer,29/09/2017,Unknown,13:45,10,112.8,25.5,52.9,20.7,29
S39,GWTS,IE52c,South,Inside,Summer,29/09/2017,Unknown,13:45,10.5,113,26.4,53.8,24.5,29.3
S40,GWTS,IE52c,South,Inside,Summer,29/09/2017,Unknown,13:45,11.6,114.2,25.4,55,25.3,28.5
E25,Pygmy,IE53,East,Edge,Summer,01/10/2017,Unknown,13:10,3.5,90.8,20.8,34.8,16.6,23.8
E26,GWTS,IE53,East,Edge,Summer,01/10/2017,Unknown,13:10,14.7,124,26.5,61.7,26,30.3
E27,GWTS,IE53,East,Edge,Summer,01/10/2017,Unknown,13:10,11.3,114.6,26.9,53.3,25.2,28.2
E28,Pygmy,IE53,East,Edge,Summer,01/10/2017,Unknown,13:50,3.4,87.3,18.5,35,16.8,24.2
E29,Pygmy,IE53,East,Edge,Summer,01/10/2017,Unknown,14:20,3.5,87.5,19.8,36.2,18.1,24.3
E30,Pygmy,IE53,East,Edge,Summer,06/10/2017,Unknown,13:15,3.6,88.5,21,35.3,18.2,24.1
E31,Pygmy,IE53,East,Edge,Summer,06/10/2017,Unknown,13:15,3.4,90,19.5,37,16.5,23.5
E32,Pygmy,IE53,East,Edge,Summer,06/10/2017,Unknown,13:30,3.5,90,22.1,36.6,15.5,22.3
E33,GWTS,IE53,East,Edge,Summer,06/10/2017,Unknown,13:30,15,126.2,26.9,63.2,25.7,29.7
E34,GWTS,IE53,East,Edge,Summer,06/10/2017,Unknown,13:30,9.8,112.5,25,52.6,24.8,28.6
E35,Pygmy,IE53,East,Edge,Summer,06/10/2017,Unknown,15:00,3.6,90.5,21.1,36.7,16.5,24
E36,Pygmy,IE53,East,Edge,Summer,06/10/2017,Unknown,16:00,3.7,92.6,22.1,36.9,17.8,23.8
E37,GWTS,IE53,East,Edge,Summer,06/10/2017,Unknown,16:00,11.2,113.8,25.3,53,23.6,26.9
E59,GWTS,IE53,East,Edge,Winter,06/03/2018,M,12:15,14.3,122.5,26.7,54.5,26.3,30.8
E60,GWTS,IE53,East,Edge,Winter,06/03/2018,F,12:15,13.7,124.3,26.4,50.3,26.7,28.5
E61,Pygmy,IE53,East,Edge,Winter,06/03/2018,Unknown,14:00,3,93.4,19.4,33.3,17.3,24
E62,GWTS,IE53,East,Edge,Winter,06/03/2018,M,14:15,8,112.2,23.5,47,24.9,28.6
E63,GWTS,IE53,East,Edge,Winter,06/03/2018,F,14:15,13.7,122.1,25.1,53.1,22.3,27.4
E64,GWTS,IE53,East,Edge,Winter,06/03/2018,F,14:15,17.5,121.4,26.1,55.6,27.1,29.9
E65,GWTS,IE53,East,Edge,Winter,06/03/2018,M,14:15,12,117.6,25.4,48.5,25.4,28.5
E66,Pygmy,IE53,East,Edge,Winter,06/03/2018,F,14:15,2.9,92.9,19.5,34.1,18.4,23.3
E67,Pygmy,IE53,East,Edge,Winter,06/03/2018,Unknown,16:00,3.1,97.1,19.4,36.7,19.4,24.3
E68,Pygmy,IE53,East,Edge,Winter,06/03/2018,F,16:00,2.8,96.3,19.4,32.1,18.5,22.6
E69,Pygmy,IE53,East,Edge,Winter,06/03/2018,M,16:00,3.3,94.3,19.9,38.5,18.5,24
E70,GWTS,IE53,East,Edge,Winter,06/03/2018,M,16:00,12,124.2,27,50.5,23.2,28.6
E83,GWTS,IE53,East,Edge,Winter,10/03/2018,M,15:40,12,121.2,25.2,49.7,21.7,29.4
E84,GWTS,IE53,East,Edge,Winter,10/03/2018,F,15:40,10.2,110.2,24.5,48.5,24.1,28.4
E85,GWTS,IE53,East,Edge,Winter,10/03/2018,F,15:40,11,117.6,22.6,52.1,22.7,29.8
E86,Pygmy,IE53,East,Edge,Winter,11/03/2018,F,16:00,3,99.4,20.7,32,18,24.2
E15,Pygmy,IE54,East,Outside,Summer,15/09/2017,Unknown,11:00,3.6,91.5,20.3,35.8,15.6,23.5
E16,Pygmy,IE54,East,Outside,Summer,15/09/2017,Unknown,13:30,3.4,88.5,18.6,37,18.4,23.5
E18,Pygmy,IE54,East,Outside,Summer,15/09/2017,Unknown,15:30,3,88.6,20.3,31.5,17,23
E20,Pygmy,IE54,East,Outside,Summer,15/09/2017,Unknown,16:40,3.2,90.5,18.7,36.5,16.5,23.5
W72,GWTS,IE54,West,Edge,Winter,22/02/2018,F,16:00,9.8,116.9,25.1,46.5,23.3,27.3
W73,GWTS,IE54,West,Edge,Winter,22/02/2018,M,16:00,9.2,112.2,24,42.8,22.7,27.3
W74,Pygmy,IE54,West,Edge,Winter,22/02/2018,F,17:15,4,96.4,20.2,39.2,18.4,24.6
W75,GWTS,IE54,West,Edge,Winter,22/02/2018,F,17:15,14,121.2,23.7,52.7,25.9,29.5
W76,GWTS,IE54,West,Edge,Winter,22/02/2018,M,17:15,11,119.5,25,52.4,26.5,29.7
E17,Pygmy,IE54b,East,Outside,Summer,15/09/2017,Unknown,14:30,3.4,89.6,19.5,33,16,23.4
E19,Pygmy,IE54c,East,Outside,Summer,15/09/2017,Unknown,16:30,3.3,92.7,20,36.4,14.5,23.5
S46,Pygmy,IE56,South,Outside,Winter,15/03/2018,F,10:30,3.1,98,19.1,33.5,18.4,22.8
S49,Pygmy,IE56,South,Outside,Winter,15/03/2018,M,13:30,3.1,92,20,34.3,19.8,23.5
S58,GWTS,IE57,South,Inside,Winter,17/03/2018,M,15:00,11.4,115.8,25.1,50.3,22.2,27.7
S59,GWTS,IE57,South,Inside,Winter,17/03/2018,F,15:00,9.9,113.6,24.7,51.8,23.4,28.5
S60,GWTS,IE57,South,Inside,Winter,17/03/2018,F,15:00,8.8,111.7,23.4,47.4,22.1,26.3
S61,GWTS,IE57,South,Inside,Winter,17/03/2018,M,15:45,11.1,113.5,24,50,21.6,28.5
S62,GWTS,IE57,South,Inside,Winter,17/03/2018,M,15:45,11.9,116.5,26.4,52,24.5,29.6
