Sample,shrew_zone,shrew_tran,Shrew,Transect,Zone,Season,Control,Trap_Site,Date,Sex,Time,Weight
E53,GWTS_Inside,GWTS_West,GWTS,West,Inside,Winter,No,IE38,19/02/2018,F,13:30,9.4
E54,GWTS_Inside,GWTS_West,GWTS,West,Inside,Winter,No,IE38,19/02/2018,F,14:30,9.8
E55,GWTS_Inside,GWTS_West,GWTS,West,Inside,Winter,No,IE38,19/02/2018,F,14:30,9.8
E56,Pygmy_Outside,Pygmy_West,Pygmy,West,Outside,Winter,No,IE29,20/02/2018,Unknown,12:00,3
E57,Pygmy_Outside,Pygmy_West,Pygmy,West,Outside,Winter,No,IE29,20/02/2018,M,14:00,2.7
E58,Pygmy_Outside,Pygmy_West,Pygmy,West,Outside,Winter,No,IE43,20/02/2018,M,17:00,3.3
E59,GWTS_Edge,GWTS_East,GWTS,East,Edge,Winter,No,IE53,06/03/2018,M,12:15,14.3
E60,GWTS_Edge,GWTS_East,GWTS,East,Edge,Winter,No,IE53,06/03/2018,F,12:15,13.7
E61,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Winter,No,IE53,06/03/2018,Unknown,14:00,3
E62,GWTS_Edge,GWTS_East,GWTS,East,Edge,Winter,No,IE53,06/03/2018,M,14:15,8
E63,GWTS_Edge,GWTS_East,GWTS,East,Edge,Winter,No,IE53,06/03/2018,F,14:15,13.7
E64,GWTS_Edge,GWTS_East,GWTS,East,Edge,Winter,No,IE53,06/03/2018,F,14:15,17.5
E65,GWTS_Edge,GWTS_East,GWTS,East,Edge,Winter,No,IE53,06/03/2018,M,14:15,12
E66,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Winter,No,IE53,06/03/2018,F,14:15,2.9
E67,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Winter,No,IE53,06/03/2018,Unknown,16:00,3.1
E68,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Winter,No,IE53,06/03/2018,F,16:00,2.8
E69,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Winter,No,IE53,06/03/2018,M,16:00,3.3
E70,GWTS_Edge,GWTS_East,GWTS,East,Edge,Winter,No,IE53,06/03/2018,M,16:00,12
E71,GWTS_Inside,GWTS_East,GWTS,East,Inside,Winter,No,IE41,08/03/2018,M,13:00,10.8
E72,GWTS_Inside,GWTS_East,GWTS,East,Inside,Winter,No,IE41,08/03/2018,F,13:00,6.5
E73,GWTS_Inside,GWTS_East,GWTS,East,Inside,Winter,No,IE41,08/03/2018,F,13:00,11.1
E74,GWTS_Inside,GWTS_East,GWTS,East,Inside,Winter,No,IE41,08/03/2018,M,13:00,10.1
